image,text,text_someone,names,context
1004_Juno_00.00.32.849-00.00.35.458/0009.jpg,"In capital letters: ""Autumn"". Beneath it, a low-rise bungalow perched on a gentle slope looks out over an uneven lawn under a cloudy sky.","In capital letters: ""Autumn"". Beneath it, a low-rise bungalow perched on a gentle slope looks out over an uneven lawn under a cloudy sky.",,
1004_Juno_00.00.35.642-00.00.45.231/0007.jpg,"A teenage girl with short brown hair tied back in a small ponytail swigs from a little size plastic bottle as she contemplates an armchair standing on the lawn, in front of her.","A teenage girl with short brown hair tied back in a small ponytail swigs from a little size plastic bottle as she contemplates an armchair standing on the lawn, in front of her.",,"Beneath it, a low-rise bungalow perched on a gentle slope looks out over an uneven lawn under a cloudy sky."
1004_Juno_00.01.28.167-00.01.30.024/0002.jpg,A shaggy blond dog.,A shaggy blond dog.,,"In flashback, the girl steps out of the knickers and walks slowly across the room towards a skinny boy sitting bare-chested in the same armchair.
Wearing just a T-shirt, the girl gives a tentative smile as she straddles the boy's lap and brings her rosebud lipped mouth close to his faith.
The girl stops the boy's mouth with a tender kiss."
1004_Juno_00.04.14.990-00.04.16.880/0007.jpg,She picks up a pregnancy kit.,She picks up a pregnancy kit.,,
1004_Juno_00.05.09.688-00.05.13.997/0007.jpg,"In the washroom, she puts it into position.","In the washroom, she puts it into position.",,"She reaches for the washroom key.
He hands her the key.
In the washroom, she unzips her jeans and sitting down on the lavatory seat, she opens the pregnancy detection kit and brings out a narrow paddle shaped stick and puts it into position."
1004_Juno_00.05.27.833-00.05.33.333/0007.jpg,She gazes at the test.,She gazes at the test.,,"In the washroom, she unzips her jeans and sitting down on the lavatory seat, she opens the pregnancy detection kit and brings out a narrow paddle shaped stick and puts it into position.
She pulls the stick out and gives it a cursory look.
Then, hurries back through to the store towards the counter."
1004_Juno_00.05.51.140-00.05.52.807/0007.jpg,Her expression is forlorn.,Her expression is forlorn.,,"She slaps a pack of sweets onto the counter and gazes at the test.
She shakes it.
She rolls her eyes at the counter clerk and leaves the store, stick in one hand."
1004_Juno_00.06.18.991-00.06.30.927/0007.jpg,Juno slings the rope candy onto the branch of a tree.,Someone slings the rope candy onto the branch of a tree.,Juno,"She shakes it.
She rolls her eyes at the counter clerk and leaves the store, stick in one hand.
Her expression is suddenly forlorn."
1004_Juno_00.06.34.339-00.06.38.785/0007.jpg,She bites in to the liquorish rope.,She bites in to the liquorish rope.,,"She rolls her eyes at the counter clerk and leaves the store, stick in one hand.
Her expression is suddenly forlorn.
Juno slings the rope candy onto the branch of a tree and makes a noose."
1004_Juno_00.06.44.389-00.06.45.563/0009.jpg,Naked dolls are clustered on the mantelpiece.,Naked dolls are clustered on the mantelpiece.,,"Juno slings the rope candy onto the branch of a tree and makes a noose.
She bites in to the liquorish rope and wanders off home.
Bedrooms, the light switch doubles as a doll's penis."
1004_Juno_00.06.45.714-00.06.47.692/0011.jpg,There's a photo of Bleeker playing his guitar.,There's a photo of Someone playing his guitar.,Bleeker,"She bites in to the liquorish rope and wanders off home.
Bedrooms, the light switch doubles as a doll's penis.
Naked dolls are clustered on the mantelpiece."
